"","Term","Ont","N","DE","P.DE","FDR"
"GO:0005515","protein binding","MF",8314,2849,0.0000000000000302184270679281,0.000000000633680415614451
"GO:0048583","regulation of response to stimulus","BP",3285,1243,0.00000000116486823383491,0.0000122136434317591
"GO:0005488","binding","MF",12227,3962,0.00000000210871936160384,0.0000147399483376109
"GO:0048522","positive regulation of cellular process","BP",4324,1606,0.00000000465760486738286,0.0000244174935172546
"GO:0048518","positive regulation of biological process","BP",4794,1760,0.00000000972132256918152,0.0000388771645179011
"GO:0070161","anchoring junction","CC",676,300,0.0000000111236522225754,0.0000388771645179011
"GO:0005912","adherens junction","CC",662,295,0.0000000155498838920634,0.0000465830093166527
"GO:0006357","regulation of transcription from RNA polymerase II promoter","BP",1675,680,0.0000000414125813719354,0.000108552728921186
"GO:0023051","regulation of signaling","BP",2831,1105,0.0000000522237842842025,0.000121681417382192
"GO:0010646","regulation of cell communication","BP",2782,1085,0.0000000711113708673612,0.000149120544708856
"GO:0009966","regulation of signal transduction","BP",2507,972,0.0000000846405665112405,0.000149406074272074
"GO:0030054","cell junction","CC",1296,553,0.0000000854970382100566,0.000149406074272074
"GO:0050794","regulation of cellular process","BP",9316,3103,0.0000000961460715533382,0.00015145313720882
"GO:0007165","signal transduction","BP",5165,1826,0.00000010111320557575,0.00015145313720882
"GO:0022610","biological adhesion","BP",1610,671,0.00000012510603279335,0.000174898233845104
"GO:0006928","movement of cell or subcellular component","BP",1672,702,0.000000134232565805695,0.000175928556559089
"GO:0007155","cell adhesion","BP",1605,668,0.000000152088451378196,0.000187605577964752
"GO:0005925","focal adhesion","CC",372,178,0.000000169575764492859,0.00019755576563418
"GO:0030055","cell-substrate junction","CC",377,180,0.000000184159083145063,0.000203253472292209
"GO:0009790","embryo development","BP",908,414,0.000000227969775816035,0.000239026309943113
"GO:0005924","cell-substrate adherens junction","CC",374,178,0.000000258940242308719,0.000258570327676849
"GO:0030029","actin filament-based process","BP",612,284,0.000000331684961777667,0.000316156074930803
"GO:0051056","regulation of small GTPase mediated signal transduction","BP",259,138,0.000000423349943141404,0.000385984709029358
"GO:0048519","negative regulation of biological process","BP",4229,1523,0.000000999280277066031,0.000873121142086445
"GO:0030334","regulation of cell migration","BP",634,291,0.00000111362688237619,0.000906219537578793
"GO:2000145","regulation of cell motility","BP",679,307,0.00000112359122446584,0.000906219537578793
"GO:0044767","single-organism developmental process","BP",5274,1959,0.00000125240153217447,0.00097269852332217
"GO:0006366","transcription from RNA polymerase II promoter","BP",1855,721,0.00000149037278480382,0.00111618276061915
"GO:0007275","multicellular organism development","BP",4477,1711,0.00000163000094459393,0.00116419100430085
"GO:0032502","developmental process","BP",5368,1990,0.00000166550930515144,0.00116419100430085
