"","N","DE","P.DE","FDR"
"SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP",351,176,0,0
"RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN",805,314,0,0
"DACOSTA_UV_RESPONSE_VIA_ERCC3_DN",855,366,0,0
"CUI_TCF21_TARGETS_2_DN",830,350,0,0
"BLALOCK_ALZHEIMERS_DISEASE_UP",1691,607,0,0
"CHEN_METABOLIC_SYNDROM_NETWORK",1210,461,0,0
"MILI_PSEUDOPODIA_HAPTOTAXIS_DN",668,263,0,0
"MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3",349,190,0,0
"JOHNSTONE_PARVB_TARGETS_3_UP",430,191,0,0
"KRIEG_HYPOXIA_NOT_VIA_KDM3A",770,293,0,0
