"","Term","Ont","N","DE","P.DE","FDR"
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell","BP",321,12,9.00441799187126e-09,9.44113226447702e-05
"GO:0004984","olfactory receptor activity","MF",321,12,9.00441799187126e-09,9.44113226447702e-05
"GO:0050907","detection of chemical stimulus involved in sensory perception","BP",362,12,6.73136081320073e-08,0.000378082603796471
"GO:0007608","sensory perception of smell","BP",345,12,7.2118760857696e-08,0.000378082603796471
"GO:0031224","intrinsic component of membrane","CC",4930,75,1.02682264630988e-07,0.000430649417862364
"GO:0050906","detection of stimulus involved in sensory perception","BP",407,13,2.35280564046484e-07,0.000822305571342463
"GO:0051606","detection of stimulus","BP",558,16,4.22513345391e-07,0.00126572926469275
"GO:0009593","detection of chemical stimulus","BP",397,12,5.58241757499671e-07,0.00146329120684601
"GO:0016021","integral component of membrane","CC",4813,71,9.52116410558846e-07,0.00221843123660211
"GO:0007606","sensory perception of chemical stimulus","BP",411,12,1.5461157212724e-06,0.00302265073956159
"GO:0044425","membrane part","CC",5965,82,1.58555832785777e-06,0.00302265073956159
"GO:0060089","molecular transducer activity","MF",1442,30,7.62770410358346e-06,0.0123040734655496
"GO:0004872","receptor activity","MF",1442,30,7.62770410358346e-06,0.0123040734655496
"GO:0050877","neurological system process","BP",1115,24,4.95924661755398e-05,0.0694252110041062
"GO:0006955","immune response","BP",1370,26,4.96603798312634e-05,0.0694252110041062
"GO:0038023","signaling receptor activity","MF",1205,24,0.000112583664218749,0.147554964916698
"GO:0005886","plasma membrane","CC",4575,66,0.000121549933359659,0.148577066431274
"GO:0003008","system process","BP",1786,33,0.000127533962601952,0.148577066431274
"GO:0032501","multicellular organismal process","BP",6323,83,0.000140838761854086,0.15544151768843
"GO:0042221","response to chemical","BP",3744,53,0.000176907415448087,0.185487425097319
"GO:0002250","adaptive immune response","BP",308,10,0.000228513458914222,0.206027601546881
"GO:0005887","integral component of plasma membrane","CC",1487,30,0.000234016250246252,0.206027601546881
"GO:0050776","regulation of immune response","BP",768,17,0.000238325279661783,0.206027601546881
"GO:0071944","cell periphery","CC",4677,66,0.000250273004193705,0.206027601546881
"GO:0044700","single organism signaling","BP",5587,74,0.000252258750526937,0.206027601546881
"GO:0007154","cell communication","BP",5614,74,0.000265031350419414,0.206027601546881
"GO:0023052","signaling","BP",5594,74,0.000267061256654257,0.206027601546881
"GO:0044459","plasma membrane part","CC",2384,42,0.000275096463677285,0.206027601546881
"GO:0009605","response to external stimulus","BP",1864,33,0.000285507573137717,0.206451510644756
"GO:0001964","startle response","BP",24,4,0.00033536653535612,0.234421208213928
