"","N","DE","P.DE","FDR"
"DAZARD_RESPONSE_TO_UV_SCC_DN",123,4,9.76322569724766e-06,0.0226582339889856
"PID_ARF6_TRAFFICKING_PATHWAY",49,3,1.0491069089083e-05,0.0226582339889856
"KAUFFMANN_DNA_REPAIR_GENES",230,4,1.4386180310467e-05,0.0226582339889856
"ONKEN_UVEAL_MELANOMA_UP",783,8,3.2287632840766e-05,0.027935916882989
"MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_14",6,1,3.24853071891956e-05,0.027935916882989
"CHO_NR4A1_TARGETS",33,2,3.54741801688749e-05,0.027935916882989
"ZIRN_TRETINOIN_RESPONSE_DN",6,1,4.78471189606125e-05,0.0293474906499124
"SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP",67,3,4.96888730580528e-05,0.0293474906499124
"VISALA_RESPONSE_TO_HEAT_SHOCK_AND_AGING_DN",14,1,9.50242641411657e-05,0.0479779259194615
"NIKOLSKY_BREAST_CANCER_19Q13.4_AMPLICON",7,1,0.000101540583956532,0.0479779259194615
