"","Var1","Var2","value"
"1",1,1,1
"2",2,2,1
"3",3,3,1
"4",4,4,1
"5",5,5,1
"6",6,6,1
"7",7,7,1
"8",8,8,1
"9",9,9,1
"10",10,10,1
"11",11,11,1
"12",12,12,1
"13",13,13,1
"14",14,14,1
"15",15,15,1
"16",16,16,1
"17",17,17,1
"18",18,18,1
"19",19,19,1
"20",20,20,1
"21",21,21,1
"22",22,22,1
"23",23,23,1
"24",24,24,1
"25",25,25,1
"26",26,26,1
"27",27,27,1
"28",28,28,1
"29",29,29,1
"30",30,30,1
"31",31,31,1
"32",32,32,1
"33",33,33,1
"34",34,34,1
"35",35,35,1
"36",36,36,1
"37",37,37,1
"38",38,38,1
"39",39,39,1
"40",40,40,1
"41",41,41,1
"42",42,42,1
"43",43,43,1
"44",44,44,1
"45",45,45,1
"46",46,46,1
"47",47,47,1
"48",48,48,1
"49",49,49,1
"50",50,50,1
"51",51,51,1
"52",52,52,1
"53",53,53,1
"54",54,54,1
"55",55,55,1
"56",56,56,1
"57",57,57,1
"58",58,58,1
"59",59,59,1
"60",60,60,1
"61",61,61,1
"62",62,62,1
"63",63,63,1
"64",64,64,1
"65",65,65,1
"66",66,66,1
"67",67,67,1
"68",68,68,1
"69",69,69,1
"70",70,70,1
"71",71,71,1
"72",72,72,1
"73",73,73,1
"74",74,74,1
"75",75,75,1
"76",76,76,1
"77",77,77,1
"78",78,78,1
"79",79,79,1
"80",80,80,1
"81",81,81,1
"82",82,82,1
"83",83,83,1
"84",84,84,1
"85",85,85,1
"86",86,86,1
"87",87,87,1
"88",88,88,1
"89",89,89,1
"90",90,90,1
"91",91,91,1
"92",92,92,1
"93",93,93,1
"94",94,94,1
"95",95,95,1
"96",96,96,1
"97",97,97,1
"98",98,98,1
"99",99,99,1
"100",100,100,1
"101",86,56,0.980170887093632
"102",56,86,0.980170887093632
"103",61,32,0.959599343097431
"104",32,61,0.959599343097431
"105",85,10,0.950102323696014
"106",10,85,0.950102323696014
"107",50,28,0.940828186547283
"108",28,50,0.940828186547283
"109",65,1,0.940421242519074
"110",1,65,0.940421242519074
"111",65,2,0.938808776541144
"112",2,65,0.938808776541144
"113",66,55,0.933625739954194
"114",55,66,0.933625739954194
"115",68,55,0.930068717574084
"116",55,68,0.930068717574084
"117",80,62,0.903026140862074
"118",62,80,0.903026140862074
"119",2,1,0.89812702625909
"120",1,2,0.89812702625909
"121",77,28,0.895877774028995
"122",28,77,0.895877774028995
"123",58,30,0.89137305873786
"124",30,58,0.89137305873786
"125",100,29,0.884077018687192
"126",29,100,0.884077018687192
"127",98,16,0.872241528869071
"128",16,98,0.872241528869071
"129",86,47,0.871332476693299
"130",47,86,0.871332476693299
"131",93,40,0.866979177972966
"132",40,93,0.866979177972966
"133",50,39,0.865765372917088
"134",39,50,0.865765372917088
"135",77,50,0.863819058858292
"136",50,77,0.863819058858292
"137",71,17,0.862715996171535
"138",17,71,0.862715996171535
"139",76,4,0.861724280090556
"140",4,76,0.861724280090556
"141",84,50,0.861595189893027
"142",50,84,0.861595189893027
"143",65,35,0.860348716979401
"144",35,65,0.860348716979401
"145",36,29,0.856040777012696
"146",29,36,0.856040777012696
"147",84,39,0.856033423406405
"148",39,84,0.856033423406405
"149",58,50,0.855182552380047
"150",50,58,0.855182552380047
"151",86,58,-0.854786323953405
"152",58,86,-0.854786323953405
"153",49,30,0.854721001107585
"154",30,49,0.854721001107585
"155",62,36,0.853035230872614
"156",36,62,0.853035230872614
"157",98,84,0.851108121645549
"158",84,98,0.851108121645549
"159",58,16,0.84738670702347
"160",16,58,0.84738670702347
"161",68,66,0.843620768759447
"162",66,68,0.843620768759447
"163",35,1,0.840693990083386
"164",1,35,0.840693990083386
"165",47,1,0.840504110921019
"166",1,47,0.840504110921019
"167",56,47,0.8382121448835
"168",47,56,0.8382121448835
"169",58,56,-0.836187759620741
"170",56,58,-0.836187759620741
"171",80,36,0.835839558222665
"172",36,80,0.835839558222665
"173",56,16,-0.835761331593906
"174",16,56,-0.835761331593906
"175",58,49,0.835096815815937
"176",49,58,0.835096815815937
"177",84,16,0.835070598168867
"178",16,84,0.835070598168867
"179",50,24,0.834521865296863
"180",24,50,0.834521865296863
"181",30,16,0.832855725578155
"182",16,30,0.832855725578155
"183",86,16,-0.832720842355641
"184",16,86,-0.832720842355641
"185",83,56,0.83236440069463
"186",56,83,0.83236440069463
"187",99,65,0.830556764929943
"188",65,99,0.830556764929943
"189",56,29,0.828385242486937
"190",29,56,0.828385242486937
"191",68,13,0.826053702210899
"192",13,68,0.826053702210899
"193",49,16,0.825872236767618
"194",16,49,0.825872236767618
"195",75,69,0.825008968465492
"196",69,75,0.825008968465492
"197",86,1,0.823794321241075
"198",1,86,0.823794321241075
"199",58,1,-0.821680342459535
"200",1,58,-0.821680342459535
"201",99,35,0.820129917882799
"202",35,99,0.820129917882799
"203",53,11,0.816579139738502
"204",11,53,0.816579139738502
"205",79,60,0.816310317938753
"206",60,79,0.816310317938753
"207",60,30,0.815450337820259
"208",30,60,0.815450337820259
"209",100,36,0.815003195016994
"210",36,100,0.815003195016994
"211",83,48,0.812794760639225
"212",48,83,0.812794760639225
"213",95,55,0.811387927959527
"214",55,95,0.811387927959527
"215",65,47,0.811024926567233
"216",47,65,0.811024926567233
"217",77,24,0.810203836405044
"218",24,77,0.810203836405044
"219",91,56,0.808682763369503
"220",56,91,0.808682763369503
"221",52,15,0.808293762898574
"222",15,52,0.808293762898574
"223",79,16,0.805436778253126
"224",16,79,0.805436778253126
"225",58,28,0.804122414605493
"226",28,58,0.804122414605493
"227",86,29,0.801390923468267
"228",29,86,0.801390923468267
"229",28,24,0.80030315356733
"230",24,28,0.80030315356733
"231",86,50,-0.800086680775225
"232",50,86,-0.800086680775225
"233",95,66,0.798955443215938
"234",66,95,0.798955443215938
"235",84,77,0.797918822346146
"236",77,84,0.797918822346146
"237",79,49,0.796491993362598
"238",49,79,0.796491993362598
"239",67,59,0.795517681927188
"240",59,67,0.795517681927188
"241",85,61,0.794497442391291
"242",61,85,0.794497442391291
"243",61,47,0.793656302476149
"244",47,61,0.793656302476149
"245",84,58,0.792872314572983
"246",58,84,0.792872314572983
"247",61,10,0.791822823734751
"248",10,61,0.791822823734751
"249",86,83,0.791738768214987
"250",83,86,0.791738768214987
"251",86,32,0.791349420657152
"252",32,86,0.791349420657152
"253",99,2,0.791233302126385
"254",2,99,0.791233302126385
"255",86,61,0.789648591164905
"256",61,86,0.789648591164905
"257",36,18,0.789624381403881
"258",18,36,0.789624381403881
"259",83,65,0.786369335023768
"260",65,83,0.786369335023768
"261",56,1,0.785792404239462
"262",1,56,0.785792404239462
"263",56,50,-0.784001803241182
"264",50,56,-0.784001803241182
"265",43,21,0.782837355881849
"266",21,43,0.782837355881849
"267",35,2,0.781933265917129
"268",2,35,0.781933265917129
"269",86,30,-0.781427182050593
"270",30,86,-0.781427182050593
"271",99,83,0.780686489142657
"272",83,99,0.780686489142657
"273",33,13,0.779400321447773
"274",13,33,0.779400321447773
"275",62,18,0.778799891670054
"276",18,62,0.778799891670054
"277",91,79,-0.778588644106235
"278",79,91,-0.778588644106235
"279",71,48,0.778281285516686
"280",48,71,0.778281285516686
"281",81,58,0.776902558864921
"282",58,81,0.776902558864921
"283",42,40,0.774945420718024
"284",40,42,0.774945420718024
"285",71,8,0.773829035840987
"286",8,71,0.773829035840987
"287",91,83,0.773377485546632
"288",83,91,0.773377485546632
"289",55,13,0.773195173498799
"290",13,55,0.773195173498799
"291",16,1,-0.772505019914723
"292",1,16,-0.772505019914723
"293",83,5,0.770989446263805
"294",5,83,0.770989446263805
"295",47,32,0.768736306743722
"296",32,47,0.768736306743722
"297",48,2,0.76544070141717
"298",2,48,0.76544070141717
"299",86,49,-0.765323728634479
"300",49,86,-0.765323728634479
"301",95,68,0.764530684119263
"302",68,95,0.764530684119263
"303",56,49,-0.764181951563952
"304",49,56,-0.764181951563952
"305",94,4,0.763189007986933
"306",4,94,0.763189007986933
"307",79,30,0.761320920070615
"308",30,79,0.761320920070615
"309",47,16,-0.758715462895237
"310",16,47,-0.758715462895237
"311",65,58,-0.754875036685192
"312",58,65,-0.754875036685192
"313",32,20,0.753954406210489
"314",20,32,0.753954406210489
"315",8,1,0.753856827764029
"316",1,8,0.753856827764029
"317",50,16,0.753392942188777
"318",16,50,0.753392942188777
"319",56,30,-0.752545265916218
"320",30,56,-0.752545265916218
"321",86,65,0.751536461180494
"322",65,86,0.751536461180494
"323",83,1,0.750332615835503
"324",1,83,0.750332615835503
"325",96,4,0.749836669053712
"326",4,96,0.749836669053712
"327",90,87,0.749768930031339
"328",87,90,0.749768930031339
"329",53,40,0.749105206578987
"330",40,53,0.749105206578987
"331",58,48,-0.747881394149067
"332",48,58,-0.747881394149067
"333",50,1,-0.747626078486256
"334",1,50,-0.747626078486256
"335",84,24,0.745829860174204
"336",24,84,0.745829860174204
"337",86,28,-0.745361479286781
"338",28,86,-0.745361479286781
"339",60,53,0.744183432859393
"340",53,60,0.744183432859393
"341",56,48,0.744126140115199
"342",48,56,0.744126140115199
"343",91,29,0.743710219824023
"344",29,91,0.743710219824023
"345",47,35,0.743632219276195
"346",35,47,0.743632219276195
"347",87,59,0.742882681292967
"348",59,87,0.742882681292967
"349",39,28,0.741508397390586
"350",28,39,0.741508397390586
"351",66,13,0.741063624444027
"352",13,66,0.741063624444027
"353",91,86,0.740205184808663
"354",86,91,0.740205184808663
"355",54,46,0.739522311091372
"356",46,54,0.739522311091372
"357",99,1,0.739022377253513
"358",1,99,0.739022377253513
"359",81,49,0.73888760137493
"360",49,81,0.73888760137493
"361",86,48,0.735934029699218
"362",48,86,0.735934029699218
"363",39,24,0.735873796981044
"364",24,39,0.735873796981044
"365",99,67,0.735091807638225
"366",67,99,0.735091807638225
"367",30,1,-0.734074722269787
"368",1,30,-0.734074722269787
"369",79,58,0.732274184780666
"370",58,79,0.732274184780666
"371",85,32,0.73174623114245
"372",32,85,0.73174623114245
"373",76,14,0.731512944475456
"374",14,76,0.731512944475456
"375",8,2,0.730147654016364
"376",2,8,0.730147654016364
"377",84,28,0.729389567705309
"378",28,84,0.729389567705309
"379",82,28,0.728628236148291
"380",28,82,0.728628236148291
"381",81,48,-0.728044045741775
"382",48,81,-0.728044045741775
"383",49,1,-0.727356610834916
"384",1,49,-0.727356610834916
"385",95,13,0.727130466317842
"386",13,95,0.727130466317842
"387",54,22,0.726805641030723
"388",22,54,0.726805641030723
"389",58,47,-0.726381759255469
"390",47,58,-0.726381759255469
"391",77,39,0.726017104742206
"392",39,77,0.726017104742206
"393",100,80,0.725932875333934
"394",80,100,0.725932875333934
"395",56,32,0.725507157742829
"396",32,56,0.725507157742829
"397",79,56,-0.72519146841198
"398",56,79,-0.72519146841198
"399",32,10,0.724956307207488
"400",10,32,0.724956307207488
"401",84,56,-0.723784959463181
"402",56,84,-0.723784959463181
"403",61,20,0.722877033606256
"404",20,61,0.722877033606256
"405",91,16,-0.722366362333008
"406",16,91,-0.722366362333008
"407",86,84,-0.722354945280364
"408",84,86,-0.722354945280364
"409",94,32,0.721421910187632
"410",32,94,0.721421910187632
"411",98,24,0.720812061968832
"412",24,98,0.720812061968832
"413",56,28,-0.720419585315215
"414",28,56,-0.720419585315215
"415",80,18,0.7199690879034
"416",18,80,0.7199690879034
"417",94,76,0.719804962371232
"418",76,94,0.719804962371232
"419",81,30,0.719253935633437
"420",30,81,0.719253935633437
"421",83,58,-0.718764804851648
"422",58,83,-0.718764804851648
"423",70,28,0.717837889112939
"424",28,70,0.717837889112939
"425",66,38,0.717096282564153
"426",38,66,0.717096282564153
"427",61,56,0.716931643430629
"428",56,61,0.716931643430629
"429",65,48,0.716010261585008
"430",48,65,0.716010261585008
"431",60,49,0.71582779922713
"432",49,60,0.71582779922713
"433",82,24,0.715707687178956
"434",24,82,0.715707687178956
"435",83,2,0.714357991742255
"436",2,83,0.714357991742255
"437",93,42,0.71376681212483
"438",42,93,0.71376681212483
"439",58,24,0.713057406187857
"440",24,58,0.713057406187857
"441",57,37,0.712855395602278
"442",37,57,0.712855395602278
"443",98,39,0.71271480998702
"444",39,98,0.71271480998702
"445",39,16,0.712357040902121
"446",16,39,0.712357040902121
"447",83,47,0.711518741469436
"448",47,83,0.711518741469436
"449",81,50,0.710860666110205
"450",50,81,0.710860666110205
"451",58,39,0.71051786670272
"452",39,58,0.71051786670272
"453",48,1,0.70972991972324
"454",1,48,0.70972991972324
"455",58,2,-0.709006784244209
"456",2,58,-0.709006784244209
"457",28,1,-0.708899073430763
"458",1,28,-0.708899073430763
"459",65,50,-0.708318481216102
"460",50,65,-0.708318481216102
"461",91,47,0.70791743734037
"462",47,91,0.70791743734037
"463",53,49,0.707314253321993
"464",49,53,0.707314253321993
"465",19,17,0.707278425573709
"466",17,19,0.707278425573709
"467",61,1,0.707215986957646
"468",1,61,0.707215986957646
